_id,company,date,opinion,rating,source
626bd53ad10793287c3acc02,"your oxygen ",14/02/2015,"December 2014 ben ik bij Your Oxygen ingeschreven, ze hadden me gecontacteerd ivm een werknemer van mij voor referenties....aangezien ik toen supervisor was bij Van Moer group. Na jaren dienst was ik toe aan een nieuwe boost en uitdaging in mijn loopbaan! Met dank aan Your Oxygen ben ik nu polyvalent medewerker bij Cogal Belgium Nv(gassector-chemie) met een direct vast bediendencontract en tal van extra legale voordelen",4.0,facebook
626bd53ad10793287c3acc03,ARXUS INC.,29/04/2018,Custom professional IT solutions.,5,google
626bd53ad10793287c3acc04,ARXUS INC.,29/04/2017,Belgian cloud at its best!,5,google
626bd53ad10793287c3acc05,ARXUS INC.,29/04/2018," Fast growing company with motivated people. Know what they are doing!",5,google
626bd53ad10793287c3acc06,ASTENA,2021-10-29,Ok,5,google
626bd53ad10793287c3acc07,ASTENA,29/07/2021," We are very disappointed in this company overall. REVAN BV
",1,google
626bd53ad10793287c3acc08,ASTENA,29/04/2018," Looking for software for your construction or installation company, but you do not know how to get started. Collect a lot of info on this site.
",5,google
626bd53ad10793287c3acc09,Axeasy,29/04/2018,De beste outsourcing-oplossing in België,5,google
626bd53ad10793287c3acc0a,Cronos Europa,29/04/2019,Human sense to build up your IT career 😊,5,google
626bd53ad10793287c3acc0b,Cronos Europa,29/04/2021,Great place to work for technology addicted ppl,5,google
626bd53ad10793287c3acc0c,Cronos Europa,29/04/2018,The management is notorious for ignoring emails. Unprofessional and inaccessible.,1,google
626bd53ad10793287c3acc0d,Cronos Europa,29/04/2017,Belgian IT with the culture of expertise and entrepreneurship.,5,google
626bd53ad10793287c3acc0e,Cronos Europa,29/04/2021,Very unprofessionnal,1,google
626bd53ad10793287c3acc0f,Cronos Europa,29/04/2018,Close to the EU area close to the center,5,google
626bd53ad10793287c3acc10,Cronos Europa,29/04/2018,Great!,5,google
626bd53ad10793287c3acc11,Cronos Europa,29/04/2020," Human company and with good values.
 I recommend you work for them.
",5,google
626bd53ad10793287c3acc12,Cronos Europa,29/04/2020,"Friendly and helpful staff waiting time correct.
",4,google
626bd53ad10793287c3acc13,Cronos Leuven,29/04/2018,Best place to work,5,google
626bd53ad10793287c3acc14,Cronos Leuven,29/04/2019,nice place,5,google
626bd53ad10793287c3acc15,Cronos Leuven,29/04/2019,"Cool company that sometimes pampers its employees with a photo booth in the office
",5,google
626bd53ad10793287c3acc16,Xplore Group,29/04/2020,No room for parking your car. Personal polite and very friendly. A little bit noisy exam room,2,google
626bd53ad10793287c3acc17,Xplore Group,29/07/2021,"Nice, clean and easily accessible facilities.",4,google
626bd53ad10793287c3acc18,Xplore Group,29/04/2018,"A super company, with very skilled people",5,google
626bd53ad10793287c3acc19,Xplore Group,29/04/2020," I took the Microsoft exam there. Nice and sound proof rooms for exam.
 ",5,google
626bd53ad10793287c3acc1a,Go4Logistics,29/04/2017,"Innovative, Young and Excellent in Logistics Management Software",5,google
