_id,date,opinion,rating,source
626a8d24ad878d7a61f7eeaa,17/02/2022,"Salary is good. Comfortable location, no inconveniences. No disadvantages. No disadvantages.",5.0,glassdoor
626a8d24ad878d7a61f7eeab,10/10/2021,"Good atmosphere, good teams on interesting projects, salaries, missions not very detailed, no professional development",3.0,glassdoor
626a8d24ad878d7a61f7eeac,25/06/2021,"Two days of linkedin training are required otherwise we leave you alone, the salary does not follow",3.0,glassdoor
626a8d24ad878d7a61f7eead,27/12/2018,"A very flexible structure, much more flexible than a more traditional company, the advantage is also the disadvantage. As soon as something happens against you, this flexibility will be used against you.",4.0,glassdoor
626a8d24ad878d7a61f7eeae,06/02/2016,"Diversity,Problem Solving,Continuing Education,Interns take a dim view of an outside consultant",3.0,glassdoor
626a8da1ad878d7a61f7eeaf,05/04/2022,"Good work life balance. Lot of personal growth, You need to find your own way",5.0,glassdoor
626a8da1ad878d7a61f7eeb0,25/03/2022,"Group benefits
Lots of freedom
Horizontal structure, Weird company structure
Wage negotiations are tough
Horizontal structure and career path",5.0,glassdoor
626a8da1ad878d7a61f7eeb1,24/03/2022,"It's so so their, no one disturb you daily, Target is to High and no help",3.0,glassdoor
626a8da1ad878d7a61f7eeb2,14/01/2022,"Good environment , good salary, No flexible hours, very short timelines",5.0,glassdoor
626a8da1ad878d7a61f7eeb3,26/09/2021,"- Voiture
- Assurance
- Fuel card
- Meal voucher
- Education, - Client can be far
- Flemish clients mostly",5.0,glassdoor
626a8da1ad878d7a61f7eeb4,19/07/2021,"Organization is quite well. Laptop when you arrive..., As always, different kind of variety",4.0,glassdoor
626a8da1ad878d7a61f7eeb5,09/04/2021,"great place to work, always fun, nothign is bad at the cronos group",5.0,glassdoor
626a8da1ad878d7a61f7eeb6,29/03/2021,"Nice Team, lots to learn, low pay, limited growth possibilities",3.0,glassdoor
626a8da1ad878d7a61f7eeb8,28/03/2021,"Good working environment for employees., High working hours is something to worry about.",4.0,glassdoor
626a8da1ad878d7a61f7eeb9,05/04/2022,"Good work life balance. Lot of personal growth, You need to find your own way",5.0,glassdoor
626a8da1ad878d7a61f7eeba,25/03/2022,"Group benefits
Lots of freedom
Horizontal structure, Weird company structure
Wage negotiations are tough
Horizontal structure and career path",5.0,glassdoor
626a8da1ad878d7a61f7eebb,24/03/2022,"It's so so their, no one disturb you daily, Target is to High and no help",3.0,glassdoor
