id,company,date,opinion,rating,source,score_sentiment,score,rating_sentiment,rating op 100,score op 100,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,roberta_neg,roberta_neu,roberta_pos
0,"your oxygen ",14/02/2015,"In December 2014 I was registered with Your Oxygen, they had contacted me about an employee of mine for references....since I was a supervisor at Van Moer group at the time. After years of service, I was ready for a new boost and challenge in my career! Thanks to Your Oxygen, I am now a polyvalent employee at Cogal Belgium Nv (gas sector-chemistry) with a direct permanent employee contract and many extra legal benefits",4.0,facebook,positive,0.03333333333333333,positive,75,75,0.0,0.957,0.043,0.4574,positive,0.03618178144097328,0.6988323926925659,0.2649858593940735
1,ARXUS INC.,29/04/2018,Custom professional IT solutions.,5.0,google,positive,0.1,positive,100,75,0.0,0.638,0.362,0.1779,positive,0.017613457515835762,0.5346290469169617,0.4477574825286865
2,ARXUS INC.,29/04/2017,Belgian cloud at its best!,5.0,google,positive,1.0,positive,100,100,0.0,0.471,0.529,0.6696,positive,0.002807671669870615,0.04526795074343681,0.9519243240356445
3,ARXUS INC.,29/04/2018," Fast growing company with motivated people. Know what they are doing!",5.0,google,positive,0.25,positive,100,75,0.0,0.643,0.357,0.6114,positive,0.004523225128650665,0.025685613974928856,0.9697912931442261
4,ASTENA,2021-10-29,Ok,5.0,google,positive,0.5,positive,100,75,0.0,0.0,1.0,0.296,positive,0.08031880855560303,0.4326647222042084,0.48701635003089905
5,ASTENA,29/07/2021," We are very disappointed in this company overall. REVAN BV
",1.0,google,negative,-0.48750000000000004,negative,0,25,0.274,0.726,0.0,-0.5256,negative,0.9237048625946045,0.0693250223994255,0.0069700186140835285
6,ASTENA,29/04/2018," Looking for software for your construction or installation company, but you do not know how to get started. Collect a lot of info on this site.
",5.0,google,neutral,0.0,positive,100,50,0.0,1.0,0.0,0.0,neutral,0.21221016347408295,0.6624975204467773,0.12529230117797852
7,Axeasy,29/04/2018,The best outsourcing solution in Belgium,5.0,google,positive,1.0,positive,100,100,0.0,1.0,0.0,0.0,neutral,0.11191628128290176,0.8059011697769165,0.08218251913785934
8,Cronos Europa,29/04/2019,Human sense to build up your IT career 😊,5.0,google,neutral,0.0,positive,100,50,0.0,1.0,0.0,0.0,neutral,0.007016322575509548,0.1413039118051529,0.851679801940918
9,Cronos Europa,29/04/2021,Great place to work for technology addicted ppl,5.0,google,positive,0.2,positive,100,75,0.0,0.631,0.369,0.6249,positive,0.008976397104561329,0.07672367244958878,0.9142997860908508
10,Cronos Europa,29/04/2018,The management is notorious for ignoring emails. Unprofessional and inaccessible.,1.0,google,neutral,0.0,negative,0,50,0.56,0.44,0.0,-0.836,negative,0.9201214909553528,0.07317204028367996,0.006706440821290016
11,Cronos Europa,29/04/2017,Belgian IT with the culture of expertise and entrepreneurship.,5.0,google,neutral,0.0,positive,100,50,0.0,1.0,0.0,0.0,neutral,0.007752060890197754,0.589063823223114,0.4031839966773987
12,Cronos Europa,29/04/2021,Very unprofessionnal,1.0,google,positive,0.2,negative,0,75,0.0,1.0,0.0,0.0,neutral,0.7449918389320374,0.2272537499666214,0.027754394337534904
13,Cronos Europa,29/04/2018,Close to the EU area close to the center,5.0,google,negative,-0.1,positive,100,25,0.0,1.0,0.0,0.0,neutral,0.01586967334151268,0.9036911129951477,0.08043904602527618
14,Cronos Europa,29/04/2018,Great!,5.0,google,positive,1.0,positive,100,100,0.0,0.0,1.0,0.6588,positive,0.009235760197043419,0.05255619063973427,0.9382080435752869
15,Cronos Europa,29/04/2020," Human company and with good values.
 I recommend you work for them.
",5.0,google,positive,0.35,positive,100,75,0.0,0.497,0.503,0.7964,positive,0.010983207263052464,0.06726794689893723,0.9217489361763
16,Cronos Europa,29/04/2020,"Friendly and helpful staff waiting time correct.
",4.0,google,positive,0.375,positive,75,75,0.0,0.455,0.545,0.7184,positive,0.020128171890974045,0.09406071156263351,0.8858110904693604
17,Cronos Leuven,29/04/2018,Best place to work,5.0,google,positive,1.0,positive,100,100,0.0,0.417,0.583,0.6369,positive,0.00624830462038517,0.07280422002077103,0.9209473729133606
18,Cronos Leuven,29/04/2019,nice place,5.0,google,positive,0.6,positive,100,75,0.0,0.263,0.737,0.4215,positive,0.028691349551081657,0.10643132030963898,0.8648772835731506
19,Cronos Leuven,29/04/2019,"Cool company that sometimes pampers its employees with a photo booth in the office
",5.0,google,positive,0.35,positive,100,75,0.0,0.839,0.161,0.3182,positive,0.014985030516982079,0.21442778408527374,0.7705872654914856
20,Xplore Group,29/04/2020,No room for parking your car. Personal polite and very friendly. A little bit noisy exam room,2.0,google,positive,0.10000000000000002,negative,25,75,0.18,0.646,0.174,0.2195,positive,0.2008320689201355,0.5161306858062744,0.2830372452735901
21,Xplore Group,29/07/2021,"Nice, clean and easily accessible facilities.",4.0,google,positive,0.44722222222222224,positive,75,75,0.0,0.275,0.725,0.7845,positive,0.0049261003732681274,0.039134688675403595,0.9559390544891357
22,Xplore Group,29/04/2018,"A super company, with very skilled people",5.0,google,positive,0.4916666666666667,positive,100,75,0.0,0.562,0.438,0.5994,positive,0.006892574019730091,0.019020546227693558,0.9740867614746094
23,Xplore Group,29/04/2020," I took the Microsoft exam there. Nice and sound proof rooms for exam.
 ",5.0,google,positive,0.5,positive,100,75,0.0,0.797,0.203,0.4215,positive,0.00591430626809597,0.09835542738437653,0.8957301378250122
