rating,opinion,date,source,company
5.0,"Flat Structure cool business atmosphere -pleasant employee -like remuneration Fine Work Events, Flexdesk Policysoms too informal structure",18/02/2019,glassdoor,Arxus
5.0,"You can drive your own carreer.Good benefits.Healthy worklife balance.Interesting projects.Cutting edge technologies.Long term experience in (big) data world., Employees build up such useful experience which gives them so many options, that it is hard to keep them for years. They are distracted by recruiters all the time.",26/03/2021,glassdoor,"Big Industries"
5.0,"Very keen on Personal Development. Actively encourage studying for Certifications. Open and friendly leadership that actually care. Great team that are all willing to support each other.Access to a great Hive Mind (If you don’t know / can’t find an answer, someone here will help).Work from Home and Work from Office fully supported.Work / Life Balance is about right,Learning support is also for those non tech / personal subject.Actively recruiting new team members.I’ve been here less than a year so far but this is one of the best places I’ve worked and perhaps most importantly the best team I’ve had the pleasure of working with., The breadth of skills required for clients could be challenging at times. Sometimes the learning can be a little much.Long working hours, especially when with clients however are flexible when they can be (bench days).The huge growth may end up diluting some of the things that make Biztory a great place to work. No signs of it yet, but I’ve seen it happen before.",21/08/2021,glassdoor,Biztory
2.0,"The team itself is excellent, the product is also very exciting. However, management's expectations are far too high. Added to this is the derogatory behavior towards employees in sales. An important experience nonetheless. Company car, too many overtime hours and no compensation",23/01/2017,indeed,"Biztory"
5.0,"Colleagues, open company spring, professional and pragmatic, consulting, growing, possibilities is also choice stress",25/10/2021,glassdoor,Codesense
5.0,"Fun, lively company with a focus on delivering great products. plan posts for the day/coming days, read up on emails and social media posts, discuss PR & marketing strategies, planning for our Game Expo: 1UP, making visuals for posts to share, talking with the devs and giving feedback on their games, new tools to use, news skills (photoshop, Premiere...), content planning. putting deadlines on others to get my content in time. Great superior, doesn't not feel like a typical boss/employee relationship. Open to suggestions and feedback. Flexible hours, expecting only for your job to be done by reasonable deadlines, fun colleagues who like to chat during lunch and play a game afterwards. Fun group to hang out with. managing my time. there is a lot to be done and I always see ways to improve my work so the stopping point is hard to determine. Bybthe very nature of the job (social media) it also means I have to put in some work outside of office hours, Working with a great team, in a company working on VIDEO GAMES: my lifelong dream. It's a culture I've been invested in since pretty much forever and now I get to work in the industry. Flexible hours, Extra benefits (car, phone, laptop), the actual job is fun to do subpar public transport connection",13/03/2019,indeed,Cronos Interactive 
1.0,"interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork., poorly managed. poorly thought out, no sales, no incomepoorly managed. poorly thought out, no sales, no incomepoorly managed. poorly thought out, no sales, no incomepoorly managed. poorly thought out, no sales, no income",24/07/2021,glassdoor,Crosspoint Solutions
3.0,"Decent Product; fun work;  good group of employees., Senior managements were not directed to save the company.",29/07/2017,glassdoor,Crosspoint Solutions
4.0,"Great co-workers. Great benefits very good work conditions., Very lacking in the sales dept.",16/05/2015,glassdoor,Crosspoint Solutions
3.0,"Good company to work with, Focus more on growing business",20/12/2014,glassdoor,Crosspoint Solutions
