_id,date,opinion,source
62666b9985333f154f135ed9,05/04/2022,"Good work life balance. Lot of personal growth, You need to find your own way",glassdoor
62666b9985333f154f135eda,25/03/2022,"Group benefits Lots of freedom Horizontal structure, Weird company structure Wage negotiations are tough Horizontal structure and career path",glassdor
62666b9985333f154f135edb,24/03/2022,"It's so so their, no one disturb you daily, Target is to High and no help",glassdoor
62666b9985333f154f135edc,14/01/2022,"Good environment , good salar, No flexible hours, very short timelines",glassdoor
62666b9985333f154f135edd,26/09/2021,"Voiture, Assurance, Fuel card, Meal voucher, Education, Client can be far, Flemish clients mostly",glassdoor
62666b9985333f154f135ede,19/07/2021,"Organization is quite well. Laptop when you arrive.., As always, different kind of variety",glassdoor
62666b9985333f154f135edf,09/04/2021,"great place to work, always fun, nothign is bad at the cronos group",glassdoor
62666b9985333f154f135ee0,28/03/2021,"Good working environment for employees, High working hours is something to worry about.",glassdoor
62666b9985333f154f135ee1,29/03/2021,"Nice team, lots to lear, Limited growth possibilities, low pay",glassdoor
62666b9985333f154f135ee2,14/02/2021,"Good atmosphere and a lot to lear, Mediocre Salary - Read the car policy carefully",glassdoor
62666b9985333f154f135ee3,29/01/2021,"a lot of knowledge inside the group, many possibilities to find a job that you lik, Big company takes some time to get to know the structure",glassdoor
62666b9985333f154f135ee4,25/01/2021,"Lots of benefits in this compan, Everyone is a ‘manager’ if you get a promotion",glassdoor
62666b9985333f154f135ee5,13/01/2021,"Everyone gets a car, vacation, stability, It is difficult to get a raise",glassdoor
62666b9985333f154f135ee6,14/01/2021,"any opportunity you can create for yourself, you can take. But you need to create your success yourself, Does not pay much compared to industry standards.",glassdoor
62666b9985333f154f135ee7,07/01/2021,"huge growth potential, lots of employee recognition and advancement, ability to have an impact and build processes, generally a positive and collaborative environment, new industry and fast growth means sometimes processes and tools lag behind the need for them, fast and unpredictable changes in the market require constant attention and flexibility, work life balance can suffer at times",glassdoor
62666b9985333f154f135ee8,12/06/2020,"Flexibility, entrepreneurship, young company, freedom, humane managemen, Internal competition, confusing structure, no clear grow path",glassdoor
62666b9985333f154f135ee9,21/03/2019,"Nothing at ALL GOOD from my experienc, Pretending FULL of HIM self person who does not know anything about programming AT ALL, BUT FULLY protected by management.",glassdoor
62666b9985333f154f135eea,26/11/2018,"benefits, good salaries, hospital insurance, meal check, avg salaries, many small companies",glassdoor
